Date,Open,High,Low,Close,Adj Close,Volume,,,,Date,Open,High,Low,Close,Adj Close,Volume
01/11/2019,142.210007,142.899994,142.009995,142.559998,142.559998,8090000,,,,01/11/2019,1.075,1.169,1.07,1.15,1.15,48441644
04/11/2019,142.259995,142.449997,141.740005,142.149994,142.149994,4740300,,,,04/11/2019,1.2,1.22,1.1,1.125,1.125,40712291
05/11/2019,140.649994,140.889999,139.380005,139.850006,139.850006,11782300,,,,05/11/2019,1.125,1.15,1.077,1.1,1.1,38136705
06/11/2019,140.119995,140.789993,140,140.449997,140.449997,6416500,,,,06/11/2019,1.1,1.12,1.05,1.075,1.075,28013185
07/11/2019,140.110001,140.199997,137.600006,138.270004,138.270004,15214200,,,,07/11/2019,1.075,1.1,1.05,1.075,1.075,46404874
08/11/2019,137.729996,138.330002,137.389999,137.389999,137.389999,10377400,,,,08/11/2019,1.075,1.1,1.05,1.075,1.075,35119976
11/11/2019,137.610001,137.789993,136.440002,137.059998,137.059998,7037300,,,,11/11/2019,1.075,1.1,1.036,1.075,1.075,31415509
12/11/2019,137.029999,137.589996,136.190002,137.429993,137.429993,6448600,,,,12/11/2019,1.15,1.174,1.05,1.075,1.075,48547152
13/11/2019,137.800003,138.220001,137.639999,137.979996,137.979996,8776000,,,,13/11/2019,1.075,1.075,1,1.025,1.025,39032595
14/11/2019,138.389999,138.940002,137.869995,138.559998,138.559998,5220500,,,,14/11/2019,1.025,1.1,1.02,1.025,1.025,18560966
15/11/2019,138.029999,138.419998,137.970001,138.210007,138.210007,10106700,,,,15/11/2019,1.025,1.09,1.028,1.08,1.08,26516476
18/11/2019,138.440002,138.850006,138.300003,138.619995,138.619995,5717900,,,,18/11/2019,1.075,1.098,1.03,1.075,1.075,21737940
19/11/2019,138.130005,138.970001,138.130005,138.690002,138.690002,4824400,,,,19/11/2019,1.075,1.06,1.013,1.025,1.025,22853623
20/11/2019,138.529999,139,138.100006,138.759995,138.759995,6892100,,,,20/11/2019,1.025,1.063,1,1.025,1.025,17605987
21/11/2019,138.389999,138.559998,137.770004,138,138,4197200,,,,21/11/2019,1.025,1.047,1.008,1.03,1.03,28738453
22/11/2019,138.369995,138.460007,137.660004,137.740005,137.740005,3620300,,,,22/11/2019,1.025,1.05,1,1.025,1.025,39067667
25/11/2019,137.320007,137.619995,136.990005,137.080002,137.080002,6415800,,,,25/11/2019,1.025,1.047,1,1.025,1.025,37568791
26/11/2019,136.979996,137.800003,136.580002,137.740005,137.740005,4724400,,,,26/11/2019,1.025,1.036,1,1.025,1.025,24385715
27/11/2019,137.029999,137.210007,136.830002,137.009995,137.009995,4111000,,,,27/11/2019,1.025,1.1,0.977,1.025,1.025,39021113
29/11/2019,137.100006,138.130005,137.080002,137.860001,137.860001,4516400,,,,28/11/2019,1.025,1.038,0.97,1.025,1.025,47318077
,,,,,,,,,,29/11/2019,1.025,1.05,0.987,1.025,1.025,26446469
